name_of_news_source,list_of_urls,title,date_of_pub
deltanews,https://deltanewsservice.com/2024/05/31/legends-bbq-a-thriving-figure-of-the-nea-black-community/,Delta Digital News Service,"Fri, 31 May 2024 22:58:00 +0000"
deltanews,https://deltanewsservice.com/2024/05/23/nea-celebrates-local-diversity-with-cultural-expo/,Legends BBQ a thriving figure of the NEA black community,"Thu, 23 May 2024 19:32:08 +0000"
deltanews,https://deltanewsservice.com/2024/05/02/cityyouth-a-destination-for-youth-when-school-ends/,IMG_6784,"Thu, 02 May 2024 14:58:42 +0000"
deltanews,https://deltanewsservice.com/2024/05/01/nea-baptist-urgent-care-plus-opening-imaging-center/,averysjones,"Wed, 01 May 2024 15:29:40 +0000"
deltanews,https://deltanewsservice.com/2024/05/01/mental-health-where-the-gym-comes-in-handy/,NEA celebrates local diversity with cultural expo,"Wed, 01 May 2024 15:29:38 +0000"
deltanews,https://deltanewsservice.com/2024/05/01/mama-2-mama-provides-for-local-community-of-mothers/,IMG_6772,"Wed, 01 May 2024 15:29:34 +0000"
deltanews,https://deltanewsservice.com/2024/05/01/brent-floating-farms-aims-to-revolutionize-agriculture/,averysjones,"Wed, 01 May 2024 15:29:31 +0000"
deltanews,https://deltanewsservice.com/2024/05/01/medicaid-unwinding-affects-over-13000-jonesboro-residents/,CityYouth a destination for youth when school ends,"Wed, 01 May 2024 15:29:28 +0000"
deltanews,https://deltanewsservice.com/2024/04/29/paragould-school-district-seeks-bond-restructure-vote/,Chick-Fil-A @cityyouth,"Mon, 29 Apr 2024 17:03:04 +0000"
deltanews,https://deltanewsservice.com/2024/04/29/craighead-county-deputy-pao-releases-annual-report-on-hot-check-program/,deltadnews,"Mon, 29 Apr 2024 16:47:03 +0000"
