"Alabama State University","The Hornet Tribune",SCRAPE_MANUAL,https://asuhornettribune.com/category/metro-montgomery/local-news/
"The University of Alabama","WVU 23",By WVUA 23 Student News Reporter,https://www.wvua23.com/
"Arkansas State University","Delta News Service",([a-z]*[A-Z]*[.-_]*[0-9]*)@smail.astate.edu,https://deltanewsservice.com/
"Arizona State University","Cronkite News",expects to graduate in (May|December) 20\d{2},https://cronkitenews.azpbs.org/
"University of Arizona","El inde",ALL_STUDENT,https://indearizona.com/category/stories/
"Azusa Pacific University","ZuMedia",SCRAPE_MANUAL,https://zunews.com/category/news/local-news/
"Biola University","The Point",SCRAPE_MANUAL,https://thepointmagazine.org/category/stories/local/
"California State University-Los Angeles","University Times",ALL_STUDENT,https://csulauniversitytimes.com/category/community-news/
"Chapman University","Chapman News",SCRAPE_MANUAL,https://news.chapman.edu/category/community/
"University of California - Berkeley","Oakland North",ALL_STUDENT,https://oaklandnorth.net/
"University of California - Berkeley","Richmond Confidential",ALL_STUDENT,https://richmondconfidential.org/
"University of Southern California","AnnenbergMedia",ALL_STUDENT,https://www.uscannenbergmedia.com/allnews/
"Quinnipiac University","Ability Media Group",ALL_STUDENT,https://abilitymediagroup.com/
"Howard University","Howard University News Service",ALL_STUDENT,https://hunewsservice.com/category/news/
"Florida A&M University","The Famuan",ALL_STUDENT,https://www.thefamuanonline.com/category/news/
"Florida Gulf Coast University","WGCU",This story was produced by the Democracy Watch program,https://news.wgcu.org/tags/democracy-watch
"University of Florida","WUFT",This story was produced by Fresh Take Florida,https://www.wuft.org/fresh-take-florida
"University of Miami","The Miami Hurricane",ALL_STUDENT,https://themiamihurricane.com/section/campus-news/community/
